product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,gross_profit,profit_margin_pct,stock_to_sales_ratio,abc_class,obsolescence_score,risk_tier
haircare,SKU0,69.81,55,802,8662.0,Non-binary,58,7,96,4,Carrier B,2.96,Supplier 3,Mumbai,29,215,29,46.28,Pending,0.23,Road,Route B,187.75,8425.01,97.26,0.07,A,0.122,Low Risk
skincare,SKU1,14.84,95,736,7460.9,Female,53,30,37,2,Carrier A,9.72,Supplier 3,Mumbai,23,517,30,33.62,Pending,4.85,Road,Route B,503.07,6914.49,92.68,0.07,A,0.404,Medium Risk
haircare,SKU2,11.32,34,8,9577.75,Unknown,1,10,88,2,Carrier B,8.05,Supplier 1,Mumbai,12,971,27,30.69,Pending,4.58,Air,Route C,141.92,9397.09,98.11,0.12,A,0.394,Medium Risk
skincare,SKU3,61.16,68,83,7766.84,Non-binary,23,13,59,6,Carrier C,1.73,Supplier 5,Kolkata,24,937,18,35.62,Fail,4.75,Rail,Route A,254.78,7474.71,96.24,0.28,A,0.524,Medium Risk
skincare,SKU4,4.81,26,871,2686.51,Non-binary,5,3,56,8,Carrier A,3.89,Supplier 1,Delhi,5,414,3,92.07,Fail,3.15,Air,Route A,923.44,1667.11,62.05,0.01,C,0.392,Medium Risk
haircare,SKU5,1.7,87,147,2828.35,Non-binary,90,27,66,3,Carrier B,4.44,Supplier 4,Bangalore,10,104,17,56.77,Fail,2.78,Road,Route A,235.46,2531.68,89.51,0.61,B,0.447,Medium Risk
skincare,SKU6,4.08,48,65,7823.48,Male,11,15,58,8,Carrier C,3.88,Supplier 3,Kolkata,14,314,24,1.09,Pending,1.0,Sea,Route A,134.37,7684.14,98.22,0.17,A,0.182,Low Risk
cosmetics,SKU7,42.96,59,426,8496.1,Female,93,17,11,1,Carrier B,2.35,Supplier 4,Bangalore,22,564,1,99.47,Fail,0.4,Road,Route C,802.06,7592.22,89.36,0.22,A,0.252,Low Risk
cosmetics,SKU8,68.72,78,150,7517.36,Female,5,10,15,7,Carrier C,3.4,Supplier 4,Mumbai,13,769,8,11.42,Pending,2.71,Sea,Route B,505.56,6996.98,93.08,0.03,A,0.268,Low Risk
skincare,SKU9,64.02,35,980,4971.15,Unknown,14,27,83,1,Carrier A,7.17,Supplier 2,Chennai,29,963,23,47.96,Pending,3.84,Rail,Route B,995.93,3920.09,78.86,0.01,B,0.334,Medium Risk
skincare,SKU10,15.71,11,996,2330.97,Non-binary,51,13,80,2,Carrier C,8.67,Supplier 5,Kolkata,18,830,5,96.53,Pass,1.73,Road,Route B,806.1,1419.67,60.9,0.05,C,0.111,Low Risk
skincare,SKU11,90.64,95,960,6099.94,Female,46,23,60,1,Carrier A,4.52,Supplier 2,Kolkata,28,362,11,27.59,Pending,0.02,Air,Route A,126.72,5941.11,97.4,0.05,A,0.106,Low Risk
haircare,SKU12,71.21,41,336,2873.74,Unknown,100,30,85,4,Carrier A,1.33,Supplier 4,Kolkata,3,563,3,32.32,Fail,2.16,Road,Route B,402.97,2437.12,84.81,0.3,B,0.369,Medium Risk
skincare,SKU13,16.16,5,249,4052.74,Male,80,8,48,9,Carrier A,9.54,Supplier 5,Bangalore,23,173,10,97.83,Pending,1.63,Road,Route B,547.24,3398.13,83.85,0.32,B,0.239,Low Risk
skincare,SKU14,99.17,26,562,8653.57,Non-binary,54,29,78,5,Carrier B,2.04,Supplier 1,Kolkata,25,558,14,5.79,Pending,0.1,Air,Route B,929.24,7716.5,89.17,0.1,A,0.118,Low Risk
skincare,SKU15,36.99,94,469,5442.09,Non-binary,9,8,69,7,Carrier B,2.42,Supplier 1,Bangalore,14,580,7,97.12,Pass,2.26,Sea,Route B,127.86,5214.69,95.82,0.02,A,0.139,Low Risk
skincare,SKU16,7.55,74,280,6453.8,Female,2,5,78,1,Carrier B,4.19,Supplier 1,Bangalore,3,399,21,77.11,Pass,1.01,Air,Route A,865.53,5506.97,85.33,0.01,A,0.062,Low Risk
cosmetics,SKU17,81.46,82,126,2629.4,Female,45,17,85,9,Carrier C,3.59,Supplier 1,Chennai,7,453,16,47.68,Fail,0.1,Air,Route C,670.93,1907.2,72.53,0.36,B,0.251,Low Risk
haircare,SKU18,36.44,23,620,9364.67,Unknown,10,10,46,8,Carrier C,4.34,Supplier 2,Kolkata,18,374,17,27.11,Pending,2.23,Sea,Route A,593.48,8739.74,93.33,0.02,A,0.237,Low Risk
skincare,SKU19,51.12,100,187,2553.5,Unknown,48,11,94,3,Carrier A,4.74,Supplier 4,Chennai,20,694,16,82.37,Fail,3.65,Road,Route C,477.31,1989.08,77.9,0.26,B,0.455,Medium Risk
skincare,SKU20,96.34,22,320,8128.03,Unknown,27,12,68,6,Carrier A,8.88,Supplier 1,Chennai,29,309,6,65.69,Pass,4.23,Air,Route B,493.87,7559.59,93.01,0.08,A,0.267,Low Risk
cosmetics,SKU21,84.89,60,601,7087.05,Unknown,69,25,7,6,Carrier B,6.04,Supplier 5,Chennai,19,791,4,61.74,Pending,0.02,Air,Route C,523.36,6495.91,91.66,0.11,A,0.114,Low Risk
haircare,SKU22,27.68,55,884,2390.81,Unknown,71,1,63,10,Carrier A,9.57,Supplier 4,Kolkata,22,780,28,50.12,Fail,2.59,Rail,Route C,205.57,2125.55,88.91,0.08,B,0.367,Medium Risk
cosmetics,SKU23,4.32,30,391,8858.37,Unknown,84,5,29,7,Carrier A,2.92,Supplier 5,Kolkata,11,568,29,98.61,Pending,1.34,Rail,Route A,196.33,8560.51,96.64,0.21,A,0.208,Low Risk
haircare,SKU24,4.16,32,209,9049.08,Male,4,26,2,8,Carrier C,9.74,Supplier 2,Bangalore,28,447,3,40.38,Pending,3.69,Air,Route A,758.72,8240.24,91.06,0.02,A,0.326,Low Risk
haircare,SKU25,39.63,73,142,2174.78,Male,82,11,52,3,Carrier C,2.23,Supplier 4,Kolkata,19,934,23,78.28,Pending,3.8,Road,Route B,458.54,1635.73,75.21,0.58,C,0.405,Medium Risk
haircare,SKU26,97.45,9,353,3716.49,Male,59,16,48,4,Carrier B,6.51,Supplier 2,Bangalore,26,171,4,15.97,Pass,2.12,Rail,Route A,617.87,3076.14,82.77,0.17,B,0.15,Low Risk
cosmetics,SKU27,92.56,42,352,2686.46,Unknown,47,9,62,8,Carrier C,7.41,Supplier 5,Mumbai,25,291,4,10.53,Fail,2.86,Sea,Route B,762.46,1906.06,70.95,0.13,B,0.39,Medium Risk
cosmetics,SKU28,2.4,12,394,6117.32,Female,48,15,24,4,Carrier B,9.9,Supplier 1,Mumbai,13,171,7,59.43,Fail,0.82,Air,Route A,123.44,5924.55,96.85,0.12,A,0.264,Low Risk
cosmetics,SKU29,63.45,3,253,8318.9,Female,45,5,67,7,Carrier B,8.1,Supplier 1,Kolkata,16,329,7,39.29,Pass,3.88,Road,Route B,764.94,7506.57,90.24,0.18,A,0.259,Low Risk
haircare,SKU30,8.02,10,327,2766.34,Male,60,26,35,7,Carrier B,8.95,Supplier 4,Kolkata,27,806,30,51.63,Pending,0.97,Road,Route C,880.08,1825.68,66.0,0.18,C,0.181,Low Risk
skincare,SKU31,50.85,28,168,9655.14,Male,6,17,44,4,Carrier B,2.68,Supplier 3,Chennai,24,461,8,60.25,Pending,2.99,Rail,Route C,609.38,8982.83,93.04,0.04,A,0.286,Low Risk
skincare,SKU32,79.21,43,781,9571.55,Unknown,89,13,64,4,Carrier C,6.6,Supplier 3,Kolkata,30,737,7,29.69,Pass,1.95,Road,Route A,761.17,8774.09,91.67,0.11,A,0.132,Low Risk
cosmetics,SKU33,64.8,63,616,5150.0,Non-binary,4,17,95,9,Carrier C,4.86,Supplier 5,Chennai,1,251,23,23.85,Fail,3.54,Sea,Route A,371.26,4750.03,92.23,0.01,B,0.416,Medium Risk
skincare,SKU34,37.47,96,602,9061.71,Unknown,1,26,21,7,Carrier A,1.02,Supplier 1,Chennai,4,452,10,10.75,Pass,0.65,Road,Route B,510.36,8539.58,94.24,0.0,A,0.038,Low Risk
cosmetics,SKU35,84.96,11,449,6541.33,Female,42,27,85,8,Carrier C,5.29,Supplier 1,Delhi,3,367,2,58.0,Pass,0.54,Sea,Route C,553.42,5924.62,90.57,0.09,A,0.043,Low Risk
skincare,SKU36,9.81,34,963,7573.4,Female,18,23,28,3,Carrier B,2.11,Supplier 2,Delhi,26,671,19,45.53,Fail,3.81,Air,Route C,403.81,7121.95,94.04,0.02,A,0.434,Medium Risk
skincare,SKU37,23.4,5,963,2438.34,Female,25,8,21,9,Carrier A,1.53,Supplier 3,Kolkata,24,867,15,34.34,Pending,2.61,Sea,Route A,183.93,2218.54,90.99,0.03,B,0.262,Low Risk
cosmetics,SKU38,52.08,75,705,9692.32,Non-binary,69,1,88,5,Carrier B,9.24,Supplier 5,Mumbai,10,841,12,5.93,Pending,0.61,Air,Route B,339.67,9337.48,96.34,0.1,A,0.149,Low Risk
skincare,SKU39,19.13,26,176,1912.47,Female,78,29,34,3,Carrier A,5.56,Supplier 2,Kolkata,30,791,6,9.01,Fail,1.45,Air,Route B,653.67,1244.23,65.06,0.44,C,0.344,Medium Risk
skincare,SKU40,80.54,97,933,5724.96,Female,90,20,39,8,Carrier C,7.23,Supplier 1,Kolkata,18,793,1,88.18,Pending,4.21,Road,Route A,529.81,5099.74,89.08,0.1,A,0.368,Medium Risk
skincare,SKU41,99.11,35,556,5521.21,Female,64,19,38,8,Carrier B,5.77,Supplier 4,Chennai,18,892,7,95.33,Fail,0.05,Sea,Route A,275.52,5144.59,93.18,0.12,A,0.217,Low Risk
skincare,SKU42,46.53,98,155,1839.61,Female,22,27,57,4,Carrier C,7.53,Supplier 5,Bangalore,26,179,7,96.42,Fail,4.94,Road,Route A,635.66,1100.0,59.8,0.14,C,0.518,Medium Risk
haircare,SKU43,11.74,6,598,5737.43,Unknown,36,29,85,9,Carrier B,3.69,Supplier 5,Mumbai,1,206,23,26.28,Pending,0.37,Air,Route A,716.04,4991.42,87.0,0.06,B,0.129,Low Risk
